11:12:35.919 [http-nio-5500-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:12:36.010 [http-nio-5500-exec-1] INFO  ru.andmosc.transferMoney.services.TransferServices - POST: /transfer -> cardFromNumber: 1111111111111111, cardToNumber: 2222222222222222
11:12:36.011 [http-nio-5500-exec-1] ERROR ru.andmosc.transferMoney.services.TransferServices - CVV указан не верно: 112
11:19:50.670 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Starting TransferMoneyApplication using Java 17.0.5 with PID 11520 (D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney\target\classes started by and in D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney)
11:19:50.677 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - No active profile set, falling back to 1 default profile: "default"
11:19:51.331 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
11:19:51.331 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
11:19:51.398 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:19:51.677 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Started TransferMoneyApplication in 1.388 seconds (process running for 2.012)
11:19:57.022 [http-nio-5500-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:19:57.113 [http-nio-5500-exec-1] INFO  ru.andmosc.transferMoney.controllers.TransferController - POST: /transfer -> cardFromNumber: 1111111111111111, cardToNumber: 2222222222222222
11:19:57.114 [http-nio-5500-exec-1] ERROR ru.andmosc.transferMoney.services.TransferServices - CVV указан не верно: 112
11:39:24.405 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Starting TransferMoneyApplication using Java 17.0.5 with PID 18412 (D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney\target\classes started by and in D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney)
11:39:24.413 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - No active profile set, falling back to 1 default profile: "default"
11:39:25.148 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
11:39:25.148 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
